,task_id,pipeline_id,y
388,24,20,0.9997849911286704
389,24,25,0.9997848711600394
390,588,47,0.999782711587281
391,1,12,0.9997820340325118
392,24,71,0.99978096313872
393,94,2,0.99978
394,121,11,0.9997768439870665
395,588,36,0.9997751817908006
396,1,1,0.999775
397,24,15,0.9997744283250584
398,607,51,0.9997728483957872
399,582,82,0.99977
400,121,41,0.9997691202644026
401,17,89,0.9997682438625584
402,24,63,0.9997678961211446
403,4,9,0.9997664593482172
404,576,90,0.999765
405,93,47,0.9997638628793596
406,20,72,0.9997627658514664
407,4,8,0.9997609490163628
408,94,25,0.99976
409,576,4,0.9997588036661844
410,139,42,0.9997568696860863
411,20,73,0.9997551547060752
412,20,17,0.9997544494146288
413,205,14,0.9997479838709676
414,588,56,0.9997472139753022
415,1,63,0.999747112392356
416,20,77,0.9997464814787108
417,24,46,0.999745
418,4,26,0.999742989229922
419,607,72,0.9997410628258676
420,588,13,0.9997396841788218
421,588,91,0.9997396841788218
422,582,20,0.9997394832768154
423,24,92,0.999736135762728
424,37,20,0.9997353631779516
425,77,2,0.999732884399551
426,582,25,0.999732404066867
427,588,76,0.99973107869713
428,20,47,0.9997296146097312
429,77,93,0.999728956228956
430,588,94,0.9997289273267072
431,4,77,0.9997286475486236
432,4,2,0.9997244458716776
433,26,2,0.9997229874502602
434,208,78,0.999722
435,4,71,0.9997213005648552
436,4,72,0.9997210959709456
437,4,63,0.9997206723868944
438,607,20,0.9997193089840216
439,69,41,0.9997178366329738
440,20,74,0.9997166861228772
441,4,81,0.9997164981257508
442,562,56,0.9997127775753828
443,588,95,0.9997095649929004
444,77,73,0.9997042648709314
445,4,15,0.9997021681340932
446,20,63,0.999701642672785
447,77,77,0.9997003367003366
448,93,46,0.999693
449,607,25,0.9996927048132188
450,544,6,0.999692
451,543,6,0.999692
452,562,5,0.999689
453,78,3,0.9996873003299852
454,20,25,0.9996849865078808
455,24,17,0.9996842469923752
456,20,20,0.9996841262633612
457,1,23,0.9996833509707236
458,24,65,0.999678
459,78,1,0.999675
460,379,1,0.999673
461,78,9,0.9996728114645708
462,607,41,0.9996725686327568
463,607,81,0.999671705444759
464,1,45,0.999671187253366
465,77,25,0.9996705948372616
466,94,36,0.99967
467,4,25,0.9996675900560852
468,576,13,0.9996633689148954
469,78,8,0.9996630261519264
470,1,15,0.999662554937822
471,118,16,0.99966
472,20,11,0.9996563657464184
473,588,96,0.9996557807323264
474,1,17,0.9996531378663192
475,295,14,0.9996528466574094
476,1,5,0.9996498026534952
477,576,3,0.999649511899066
478,20,45,0.9996481752824709
479,607,15,0.9996468924268176
480,4,11,0.9996418566989872
481,78,15,0.9996388001479038
482,24,47,0.9996374960283017
483,24,45,0.9996356431247218
484,37,97,0.99963
485,607,11,0.9996277429771512
486,604,11,0.9996274372285844
487,69,68,0.999626401258278
488,93,16,0.999625
489,1,36,0.9996154695803086
490,93,25,0.9996107326914508
491,4,82,0.99961
492,1,40,0.9996080143987024
493,93,20,0.999604731342808
494,24,36,0.9996035334522864
495,139,74,0.9996033719443572
496,14,1,0.999595
497,24,11,0.9995915583993108
498,20,71,0.99959062140577
499,4,47,0.999588724469014
500,77,38,0.999586
501,12,3,0.9995833333333334
502,8,97,0.999566
503,20,69,0.999565766083852
504,4,98,0.999565313289697
505,4,20,0.9995601575497238
506,86,22,0.9995575765023964
507,72,11,0.9995553275874602
508,24,41,0.9995517143900694
509,582,16,0.999544
510,78,42,0.9995209330605148
511,139,3,0.9995153046367428
512,24,16,0.999513
513,295,15,0.9995040666534418
514,26,25,0.999501727229
515,485,15,0.9994955863808324
516,20,65,0.999488
517,26,17,0.9994866413048232
518,12,1,0.999486
519,20,46,0.999485
520,588,39,0.99948367109849
521,94,47,0.9994833333333332
522,26,20,0.9994819406183044
523,14,3,0.9994816666666668
524,94,11,0.9994666666666668
525,9,9,0.9994630555555556
526,1,22,0.999456164120722
527,24,51,0.999454241149582
528,26,41,0.999452096724824
529,480,5,0.999451
530,9,8,0.9994494444444444
531,26,5,0.999448
532,208,19,0.999443
533,4,45,0.999441351625892
534,20,41,0.9994369636287752
535,449,1,0.999433
536,14,2,0.9994227777777775
537,139,9,0.999416603305368
538,12,9,0.9994113888888888
539,399,5,0.999408
540,12,8,0.9994033333333334
541,26,99,0.999403
542,37,100,0.999399
543,222,15,0.999395258829221
544,582,9,0.9993951966213644
545,24,68,0.999394899968293
546,8,50,0.999393
547,26,39,0.999392
548,582,17,0.9993816650065472
549,26,101,0.999379
550,94,51,0.99937
551,47,65,0.999364
552,72,86,0.999359577917064
553,381,5,0.999357
554,77,46,0.999354
555,4,46,0.999349
556,77,45,0.999341189674523
557,24,5,0.999338507762048
558,24,56,0.9993383516565204
559,397,1,0.999336
560,4,65,0.999336
561,121,36,0.9993336854793518
562,4,38,0.99933
563,72,15,0.999320673026438
564,139,20,0.9993152675430926
565,582,36,0.9993105765634503
566,607,76,0.999307884895456
567,139,25,0.9993010121780992
568,37,46,0.9993
569,9,19,0.9993
570,12,2,0.9992997222222224
571,139,81,0.9992910966761688
572,469,5,0.999287
573,50,98,0.9992797658072424
574,576,6,0.999273
575,4,17,0.9992692224803914
576,78,102,0.9992665265869192
577,12,15,0.9992661111111112
578,37,103,0.999261
579,9,15,0.999259722222222
580,26,47,0.9992529187983736
581,582,15,0.9992511215034076
582,453,5,0.999247
583,298,15,0.9992469879518072
584,25,15,0.9992451760666988
585,37,104,0.999237
586,144,5,0.999233
587,26,37,0.999224
588,14,9,0.9992169444444444
589,9,42,0.9992158333333332
590,607,16,0.999214
591,26,51,0.999210066028248
592,607,13,0.9992087849556536
593,37,65,0.999208
594,78,105,0.9992076940921468
595,121,39,0.9992040610336796
596,20,76,0.9992007021789372
597,46,9,0.9992
598,77,20,0.999196408529742
599,26,50,0.999188
600,78,74,0.999184314756733
601,72,106,0.9991811068646717
602,9,2,0.9991736111111112
603,121,83,0.9991735122677624
604,9,11,0.9991594444444444
605,25,86,0.9991492710116312
606,78,11,0.9991456680045916
607,78,63,0.999143377343911
608,582,41,0.9991288613069153
609,566,8,0.9991272438310292
610,139,2,0.9991257061195268
611,26,36,0.9991129913857186
612,20,36,0.9991117052810736
613,472,15,0.999108138238573
614,1,0,0.99909910015958
