,dataset_id,dataset_name,run_label,run_date,model_path,history_path,f1,roc_auc,accuracy,logloss,precision,inference_sec,fit_time_sec,task_type,model_str,automl_time_sec,automl_timeout_min,meta_learning_time_sec
92,23517,numerai28.6,FEDOT,2022-11-02 18:19:45,datasets\numerai28.6\models\FEDOT\b2b59c11-d53a-40c2-8bd2-928993fde049.json,datasets\numerai28.6\histories\FEDOT\b2b59c11-d53a-40c2-8bd2-928993fde049.json,-0.52,-0.524,-0.52,0.692,-0.52,0.1223434917628765,14036.1405845806,classification,(/n_scaling;)/n_logit_{'C': 3.69154717197125},14400,240,0
93,1489,phoneme,FEDOT,2022-11-02 18:19:44,datasets\phoneme\models\FEDOT\bf0de9e6-a37b-4c94-9895-0e5cbae89412.json,datasets\phoneme\histories\FEDOT\bf0de9e6-a37b-4c94-9895-0e5cbae89412.json,-0.911,-0.97,-0.911,0.251,-0.893,0.0311124920845031,14416.832532141358,classification,"((/n_pca_{'svd_solver': 'full', 'n_components': 0.752985386229907};;/n_scaling;)/n_pca_{'svd_solver': 'full', 'n_components': 0.5501737514845985};;(/n_scaling;)/n_normalization;;/n_scaling;)/n_rf_{'n_jobs': 1, 'bootstrap': False, 'criterion': 'entropy', 'max_features': 0.17364763105523687, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",14400,240,0
94,41161,riccardo,FEDOT,2022-11-02 18:19:47,datasets\riccardo\models\FEDOT\9c5ff55c-741f-420b-a267-73d3ef2c974e.json,datasets\riccardo\histories\FEDOT\9c5ff55c-741f-420b-a267-73d3ef2c974e.json,-0.941,-0.982,-0.941,0.168,-0.951,3.890375394374132,33429.03653849661,classification,"(/n_scaling;)/n_rf_{'n_jobs': 1, 'bootstrap': False, 'criterion': 'entropy', 'max_features': 0.5209757645203771, 'min_samples_leaf': 5, 'min_samples_split': 7, 'n_estimators': 100}",14400,240,0
95,36,segment,FEDOT,2022-11-02 18:19:44,datasets\segment\models\FEDOT\72992ee7-dcac-44b9-a826-3073273a7e5f.json,datasets\segment\histories\FEDOT\72992ee7-dcac-44b9-a826-3073273a7e5f.json,-0.983,-0.999,-0.983,0.077,-0.983,0.1618799716234207,14413.519835814834,classification,"(((((/n_pca_{'svd_solver': 'full', 'n_components': 0.9508386307467642};)/n_scaling;)/n_pca_{'svd_solver': 'full', 'n_components': 0.8937840676230815};;(/n_pca_{'svd_solver': 'full', 'n_components': 0.9508386307467642};)/n_scaling;;/n_pca_{'svd_solver': 'full', 'n_components': 0.9508386307467642};)/n_normalization;)/n_knn_{'n_neighbors': 10, 'p': 1, 'weights': 'uniform'};;(((/n_pca_{'svd_solver': 'full', 'n_components': 0.9508386307467642};)/n_scaling;)/n_pca_{'svd_solver': 'full', 'n_components': 0.8937840676230815};;/n_pca_{'svd_solver': 'full', 'n_components': 0.9508386307467642};;/n_scaling;)/n_rf_{'n_jobs': 1, 'bootstrap': True, 'criterion': 'entropy', 'max_features': 0.2407290482621319, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 100};;((/n_pca_{'svd_solver': 'full', 'n_components': 0.9508386307467642};)/n_scaling;)/n_pca_{'svd_solver': 'full', 'n_components': 0.8937840676230815};;/n_scaling;)/n_logit_{'C': 3.591407677260078}",14400,240,0
96,40685,shuttle,FEDOT,2022-11-02 18:19:45,datasets\shuttle\models\FEDOT\952a9f02-8dcd-4945-a112-78469f5900de.json,datasets\shuttle\histories\FEDOT\952a9f02-8dcd-4945-a112-78469f5900de.json,-1.0,-1.0,-1.0,0.006,-0.992,0.1421428769826889,14481.889655031264,classification,"((/n_scaling;)/n_rf_{'n_jobs': 1, 'n_estimators': 100, 'criterion': 'gini', 'max_features': 0.6383818082328747, 'min_samples_split': 9, 'min_samples_leaf': 1, 'bootstrap': False};)/n_rf_{'n_jobs': 1}",14400,240,0
97,41146,sylvine,FEDOT,2022-11-02 18:19:40,datasets\sylvine\models\FEDOT\0539daac-dc07-40a7-87fc-6efe4b625192.json,datasets\sylvine\histories\FEDOT\0539daac-dc07-40a7-87fc-6efe4b625192.json,-0.932,-0.986,-0.932,0.152,-0.935,0.0304660350084304,14426.390820069704,classification,"(((/n_pca_{'svd_solver': 'full', 'n_components': 0.9244869609744464};)/n_logit_{'C': 2.674656551842052};;/n_normalization;)/n_scaling;)/n_rf_{'n_jobs': 1, 'bootstrap': False, 'criterion': 'entropy', 'max_features': 0.4026387535202103, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",14400,240,0
98,54,vehicle,FEDOT,2022-11-02 18:19:43,datasets\vehicle\models\FEDOT\798ddef5-5dc1-460d-a520-80c2acb94b82.json,datasets\vehicle\histories\FEDOT\798ddef5-5dc1-460d-a520-80c2acb94b82.json,-0.881,-0.979,-0.882,0.266,-0.88,0.0237997621297836,14364.122313376516,classification,"((((/n_normalization;)/n_normalization;)/n_scaling;;(/n_normalization;)/n_normalization;)/n_logit_{'C': 6.151934092369571};;(/n_normalization;)/n_qda;;/n_normalization;)/n_rf_{'n_jobs': 1, 'bootstrap': True, 'criterion': 'entropy', 'max_features': 0.12172572370310977, 'min_samples_leaf': 1, 'min_samples_split': 9, 'n_estimators': 100}",14400,240,0
99,41166,volkert,FEDOT,2022-11-02 18:54:54,datasets\volkert\models\FEDOT\3797020f-4691-4217-bd69-d3e297be2299.json,datasets\volkert\histories\FEDOT\3797020f-4691-4217-bd69-d3e297be2299.json,-0.639,-0.926,-0.639,1.047,-0.566,0.5598400384187698,16838.94978827238,classification,"(/n_isolation_forest_class_{'bootstrap': True, 'max_features': 0.6017766680426408, 'max_samples': 0.4239243086789669};)/n_lgbm_{'num_leaves': 45, 'colsample_bytree': 0.4693121287954706, 'subsample': 0.9469703399892153, 'subsample_freq': 10, 'learning_rate': 0.03333655995742698, 'n_estimators': 100, 'class_weight': 'balanced', 'reg_alpha': 0.0036966991741355943, 'reg_lambda': 0.11222207307290347}",14400,240,0
100,179,adult,FEDOT_SAPostProcSafeGluingVer1,2022-11-11 11:49:52,datasets\adult\models\FEDOT_SAPostProcSafeGluingVer1\79115ed8-4bd4-4eee-99a9-4173c519ab36.json,datasets\adult\histories\FEDOT_SAPostProcSafeGluingVer1\79115ed8-4bd4-4eee-99a9-4173c519ab36.json,-0.873,-0.931,-0.873,0.273,-0.841,0.2155871838331222,14440.574530862272,classification,"/n_lgbm_{'num_leaves': 23, 'colsample_bytree': 0.42341230800695756, 'subsample': 0.983309839429522, 'subsample_freq': 10, 'learning_rate': 0.1826929124728187, 'n_estimators': 100, 'reg_alpha': 0.014040144030773492, 'reg_lambda': 0.404716744314217}",14400,240,0
101,1169,airlines,FEDOT_SAPostProcSafeGluingVer1,2022-11-11 11:49:54,datasets\airlines\models\FEDOT_SAPostProcSafeGluingVer1\80e7629f-93ee-4506-bb3f-e6fc34ef62b9.json,datasets\airlines\histories\FEDOT_SAPostProcSafeGluingVer1\80e7629f-93ee-4506-bb3f-e6fc34ef62b9.json,-0.671,-0.725,-0.671,0.605,-0.668,2.075042326003313,17265.20243584737,classification,"(/n_scaling;)/n_rf_{'n_jobs': 1, 'n_estimators': 100, 'criterion': 'gini', 'max_features': 0.6571709687762716, 'min_samples_split': 3, 'min_samples_leaf': 12, 'bootstrap': True}",14400,240,0
102,41147,albert,FEDOT_SAPostProcSafeGluingVer1,2022-11-11 11:49:52,datasets\albert\models\FEDOT_SAPostProcSafeGluingVer1\123b72a8-9112-4cd2-a6de-50694b18927b.json,datasets\albert\histories\FEDOT_SAPostProcSafeGluingVer1\123b72a8-9112-4cd2-a6de-50694b18927b.json,-0.667,-0.728,-0.667,0.609,-0.667,9.608391974121332,21821.949649721384,classification,"(/n_scaling;)/n_rf_{'n_jobs': 1, 'n_estimators': 100, 'criterion': 'gini', 'max_features': 0.7248957483574886, 'min_samples_split': 8, 'min_samples_leaf': 6, 'bootstrap': False}",14400,240,0
103,4135,amazon_employee_access,FEDOT_SAPostProcSafeGluingVer1,2022-11-11 11:49:47,datasets\amazon_employee_access\models\FEDOT_SAPostProcSafeGluingVer1\b40f4cee-149e-42e0-8b0f-190d61bfda7c.json,datasets\amazon_employee_access\histories\FEDOT_SAPostProcSafeGluingVer1\b40f4cee-149e-42e0-8b0f-190d61bfda7c.json,-0.948,-0.879,-0.948,0.201,-0.787,0.0860165813937783,14483.216737127865,classification,"/n_rf_{'n_jobs': 1, 'bootstrap': True, 'criterion': 'entropy', 'max_features': 0.5940148643940228, 'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 100}",14400,240,0
104,41138,apsfailure,FEDOT_SAPostProcSafeGluingVer1,2022-11-11 11:49:53,datasets\apsfailure\models\FEDOT_SAPostProcSafeGluingVer1\60e2ef81-963d-437f-9c37-2b174b74c1b4.json,datasets\apsfailure\histories\FEDOT_SAPostProcSafeGluingVer1\60e2ef81-963d-437f-9c37-2b174b74c1b4.json,-0.994,-0.989,-0.994,0.026,-0.961,0.9245547577738762,18180.322819069028,classification,"(/n_scaling;)/n_rf_{'n_jobs': 1, 'bootstrap': True, 'criterion': 'entropy', 'max_features': 0.48852046847979497, 'min_samples_leaf': 9, 'min_samples_split': 9, 'n_estimators': 100}",14400,240,0
